start	end	text
0	4400	Hi there, and welcome to this podcast.
4400	10960	This week, I'm continuing my theme of current events to help you learn up-to-date English
10960	12440	through listening.
12440	20200	So in this week's podcast, some reflections on the amazing event that is the Hajj, which
20200	21920	happened recently.
21920	27000	The Hajj is hugely important to Muslims, followers of Islam.
27000	32840	I'll talk about this, and I'll talk a bit about the brilliance in organisation that
32840	37160	is necessary to host this annual event.
37160	42440	As ever, this podcast will give you some really good, useful vocabulary.
42440	46280	Listen to it several times to help it stick in your mind.
48280	54400	Hello, I'm Hillary, and you're listening to Adept English.
54400	58240	We will help you to speak English fluently.
58240	61120	All you have to do is listen.
61120	66800	So start listening now and find out how it works.
66800	73920	Remember this podcast is just a free sample, a little taste of what Adept English offers
73920	76080	to English language learners.
76080	80360	We have courses for everyone, except complete beginners.
80360	83660	But actually, most of you aren't complete beginners.
83660	87140	You have basic English because you learned it at school.
87140	90940	You just really, really want to improve your English.
90940	97660	So if your English is advancing and you like the podcasts, one way to get more is our paid
97660	98980	subscription service.
98980	104860	For a very small charge, you get an extra eight episodes a month.
104860	105860	Imagine that.
105860	111020	But if you're wanting to move forward from basic English, we have excellent listen and
111060	114860	learn courses on our website at adeptenglish.com.
114860	119580	And if you would really like to understand the techniques that are useful for learning
119580	125300	a language or if your language learning isn't progressing as fast as you would like, then
125300	130300	you will find help in our free course, The Seven Rules of Adept English.
130300	136740	This course teaches you all the techniques that you need to learn a language successfully.
136740	140540	Anyway, this week's topic, the Hajj.
140540	146660	As I've shared with you before, I don't have or belong to a particular religion, but
146660	152420	I was brought up in the Christian church, so I respect other religions.
152420	158860	And one remarkable thing that happened recently in June and which happens every year, the
158860	162300	Hajj, H-A-J-J.
162300	169100	This is an event for people of the Muslim faith, which is a very important spiritual
169100	173700	one. The journey and the experience is a pilgrimage.
173700	179900	That's P-I-L-G-R-I-M-A-G-E, pilgrimage.
179900	183780	And this word is used in a number of religions.
183780	190540	And a pilgrim is a person on a pilgrimage and a pilgrimage is a journey to a holy place
190540	191940	or holy site.
191940	198460	And the act of Hajj is one of the five mandatory pillars of Islam, meaning that if you follow
198460	205060	Islam, this is something that you have to do at least once in your life if you are able.
205060	213460	So the act of Hajj is the annual pilgrimage to the House of Allah in Mecca, Saudi Arabia.
213460	221460	You'll often see this spelt M-E-C-C-A and pronounced Mecca in English.
221460	223980	And the naming is somewhat significant.
223980	234500	In the 1980s, King Fahd bin Abdulaziz decreed that the spelling M-A-K-K-A-H must be used
234500	239180	on all official documents as a sign of respect to Islam.
239180	246260	And it differentiates, as in English we use the word Mecca, M-E-C-C-A, to denote all kinds
246260	250380	of things which are a centre of attraction where people gather.
250380	259220	So adopting the spelling M-A-K-K-A-H is part of a bigger move for English language speakers
259220	264940	of abandoning the anglicised spellings, the English way of spelling things.
264940	270780	We're leaving that behind out of respect and moving towards spelling and pronouncing
270780	277460	the names of places as people in that country would pronounce them.
277460	284260	And in fact, many of the Arabic words, four important aspects of the Islamic faith, have
284260	286300	different spellings in English.
286300	295500	For the Quran or Holy Book, you will see this spelt K-O-R-A-N as well as Q-R-A-N.
295500	299900	There are also many ways to spell the name of the Prophet Muhammad, and you see this
299900	302100	reflected in people's names too.
302100	306500	Pretty much everyone in the UK knows someone called Muhammad, I think.
306500	314500	Anyway, the Hajj, every year around two million Muslims visit the sacred Ka'bah to perform
314500	316620	Hajj or pilgrimage.
316620	323660	So the Hajj is a five-day event which takes place in Dhul, the last month of the Islamic
323660	324660	calendar.
324660	332980	During this time, it is strictly forbidden to engage in anything sinful, that's S-I-N-F-U-L,
332980	338940	and this means no arguments, no violence, no sexual activity, and forbids even the cutting
338940	341620	of hair or fingernails.
341620	346140	Muslims must adopt a sense of calm throughout their pilgrimage.
346140	356220	The Ka'bah, which is K-A-A-B-A or K-A apostrophe B-A in English, this is the stone building
356220	363420	At the centre of Islam's holiest site, the Masjid al-Haram in Makkah.
363420	371340	This is the Grand Mosque, that's M-O-S-Q-U-E, and the Ka'bah is the building that you see
371340	378500	in photographs of the Hajj pilgrimage, the building that the pilgrims circle around.
378500	386980	This word Masjid, M-A-S-J-I-D, means mosque, and the building, the Masjid al-Haram, is
386980	388540	fairly amazing too.
388540	395100	There has been a mosque on this holy site since around the year 644, and much of the
395100	402580	present building dates back to 1571, that's in our Western way of counting years of course.
402580	411540	The Masjid al-Haram is able to host one million visitors, one million worshippers at a time,
411540	419580	and it covers a huge area, 357,000 metres square, that's huge.
419580	423700	But imagine that, a million worshippers all at one time.
423700	431040	And for many of us, we do have to imagine it, as non-Muslim visitors cannot enter Makkah,
431040	435400	and certainly cannot enter Masjid al-Haram.
435400	442080	But this mosque is open 24 hours a day, two followers of Islam who have completed the
442080	448400	pilgrimage, who've completed the Hajj, and Muslims may enter and worship at any point
448400	450440	during their pilgrimage.
450440	454640	Masjid al-Haram has nine minarets.
454640	463240	A minaret, M-I-N-A-R-E-T, is the holy tower from which the call to prayer comes five times a day.
463240	472600	Each of these nine minarets at the Masjid al-Haram is 89 metres above the ground, that's 292 feet.
